Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Label
Linking Patients' Goals and Priorities to Recommendations for Medication Changes in a Polypharmacy-Focused Structured Clinical Pathway.,Mangin D; Lamarche L; Freeman K; Ali A; Clark R; Shah N; Awan A; Langevin J; Parascandalo J; Dore Brown N; Jurcic-Vrataric J; Colwill K; Dragos S; Borhan S; Risdon C; Siu H; Farrell B; Trimble J,"Polypharmacy is associated with poorer health outcomes in older adults. It is challenging to minimize the harmful effects of medications while maximizing benefits of single-disease-focused recommendations. Integrating patient input can balance these factors. The objectives are to describe the goals, priorities, and preferences of participants asked about these in a structured process to polypharmacy, and to describe the extent that decision-making within the process mapped onto these, signaling a patient-centered approach. This is a single-group quasi-experimental study, nested within a feasibility randomized controlled trial. Patient goals and priorities were mapped to medication recommendations made during the intervention. Overall, there were 33 participants who reported 55 functional goals and 66 symptom priorities, and 16 participants reported unwanted medications. Overall, 154 recommendations for medication alterations occurred. Of those, 68 (44%) recommendations mapped to the individual's goals and priorities, whereas the rest were based on clinical judgment where no priorities were expressed. Our results signal this process supports a patient-centered approach: allowing conversations around goals and priorities in a structured process to polypharmacy should be integrated into subsequent medication decisions.",2023,,J Patient Exp,10,,23743735231174762,,10.1177/23743735231174762,37213440,#1234,Mangin 2023,,,0
Cancer Survivor Preferences for Models of Breast Cancer Follow-Up Care: Selecting Attributes for Inclusion in a Discrete Choice Experiment.,Kularatna S; Allen M; Hettiarachchi RM; Crawford-Williams F; Senanayake S; Brain D; Hart NH; Koczwara B; Ee C; Chan RJ,"BACKGROUND AND OBJECTIVE: It is critical to evaluate cancer survivors' preferences when developing follow-up care models to better address the needs of cancer survivors. This study was conducted to understand the key attributes of breast cancer follow-up care for use in a future discrete choice experiment (DCE) survey. METHODS: Key attributes of breast cancer follow-up care models were generated using a multi-stage, mixed-methods approach. Focus group discussions were conducted with cancer survivors and clinicians to generate a range of attributes of current and ideal follow-up care. These attributes were then prioritised using an online survey with survivors and healthcare providers. The DCE attributes and levels were finalised via an expert panel discussion based on the outcomes of the previous stages. RESULTS: Four focus groups were held, two with breast cancer survivors (n = 7) and two with clinicians (n = 8). Focus groups generated sixteen attributes deemed important for breast cancer follow-up care models. The prioritisation exercise was conducted with 20 participants (14 breast cancer survivors and 6 clinicians). Finally, the expert panel selected five attributes for a future DCE survey tool to elicit cancer survivors' preferences on breast cancer follow-up care. The final attributes included: the care team, allied health and supportive care, survivorship care planning, travel for appointments, and out-of-pocket costs. CONCLUSIONS: Attributes identified can be used in future DCE studies to elicit cancer survivors' preferences for breast cancer follow-up care. This strengthens the design and implementation of follow-up care programs that best suit the needs and expectations of breast cancer survivors.",2023,Jul,Patient,16,4,371-383,,10.1007/s40271-023-00631-0,37213062,#1110,Kularatna 2023,,,1
Expert Consensus for the Use of Outpatient Rehabilitation Visits After Total Knee Arthroplasty: A Delphi Study.,Graber J; Churchill L; Struessel T; O'Malley S; Bade M; Stevens-Lapsley J,"OBJECTIVE: There is no consensus for how to use rehabilitation visits after total knee arthroplasty (TKA). We sought to develop expert recommendations for outpatient rehabilitation visit usage after TKA. DESIGN: Delphi study. METHODS: First, we developed a broad list of preliminary visit usage recommendations, which were specific to patients' recovery status (ie, slow, typical, or fast recovery) and time since surgery. We then invited 49 TKA experts to participate on a Delphi panel. During round 1, we surveyed panelists regarding their level of agreement with each preliminary recommendation. We conducted additional Delphi rounds as needed to build consensus, which we defined using the RAND/UCLA method. We updated the survey each round based on panelist feedback and responses from the previous round. RESULTS: Thirty panelists agreed to participate, and 29 panelists completed 2 Delphi rounds. The panel reached consensus on recommendations related to visit frequency, visit timing, and the use of telerehabilitation. The panel recommended that outpatient rehabilitation should begin within 1 week after surgery at a frequency of 2 times per week for the first postoperative month regardless of recovery status. The panel recommended different visit frequencies depending on the patient's recovery status for postoperative months 2 to 3. The panel agreed that telerehabilitation can be recommended for most patients after TKA, but not for patients recovering slowly. CONCLUSION: We used the Delphi process to develop expert recommendations for the use of outpatient rehabilitation visits after TKA. We envision these recommendations could help patients decide how to use visits based on their own preferences. J Orthop Sports Phys Ther 2023;53(9):1-9. Epub: 10 July 2023. doi:10.2519/jospt.2023.11840.",2023,Sep,J Orthop Sports Phys Ther,53,9,566–574,,10.2519/jospt.2023.11840,37428802,#921,Graber 2023,,,0
Racial Disparity in Esophageal Squamous Cell Carcinoma Treatment and Survival in the United States.,Noureldin M; Rubenstein JH; Urias E; Berinstein JA; Cohen-Mekelburg S; Saini SD; Higgins PD; Waljee AK,"INTRODUCTION: Esophageal squamous cell carcinoma (ESCC) has a higher incidence and prevalence than esophageal adenocarcinoma among Black individuals in the United States. Black individuals have lower ESCC survival. These racial disparities have not been thoroughly investigated. We examined the disparity in treatment and survival stratified by ESCC stage at diagnosis. METHODS: The Surveillance, Epidemiology, and End Results database was queried to identify patients with ESCC between 2000 and 2019. The identified cohort was divided into subgroups by race. Patient and cancer characteristics, treatment received, and survival rates were compared across the racial subgroups. RESULTS: A total of 23,768 patients with ESCC were identified. Compared with White individuals, Black individuals were younger and had more distant disease during diagnosis (distant disease: 26.7% vs 23.8%, P < 0.001). Black individuals had lower age-standardized 5-year survival for localized (survival % [95% confidence interval]: 19.3% [16-22.8] vs 27.6% [25.1-30.2]), regional (14.3% [12-16.7] vs 21.1% [19.6-22.7]), and distant (2.9% [1.9-4.1] vs 6.5% [5.5-7.5]) disease. Black individuals were less likely to receive chemotherapy (54.7% vs 57.5%, P = 0.001), radiation (58.5% vs 60.4%, P = 0.03), and surgery (11.4% vs 16.3%, P < 0.0001). DISCUSSION: Black individuals with ESCC have a lower survival rate than White individuals. This could be related to presenting at a later stage but also disparities in which treatments they receive even among individuals with the same stage of disease. To what extent these disparities in receipt of treatment is due to structural racism, social determinants of health, implicit bias, or patient preferences deserves further study.",2023,Dec,Am J Gastroenterol,,,,,10.14309/ajg.0000000000002606,37975573,#554,Noureldin 2023,,,0
Using MaxDiff Analysis to Elicit Patients' Treatment Preferences for Distal Radius Fractures in Patients Aged 60 Years and Older.,Phan A; Schloemann D; Calderon T; Hammert WC,"PURPOSE: The objective of our study was to determine how the attributes of surgical and nonsurgical distal radius fracture (DRF) treatments affect patient treatment preferences. METHODS: Two hundred fifty patients aged 60 years and older were contacted from a single-hand surgeon's practice, and 172 chose to participate. We built a series of best-worst scaling experiments for the MaxDiff analysis to determine the relative importance of treatment attributes. Hierarchical Bayes analysis was used to generate individual-level item scores (ISs) for each attribute that together have a total sum of 100. RESULTS: One hundred general hand clinic patients without a history of a DRF and 43 patients with a history of a DRF completed the survey. For the general hand clinic patients, the most important attributes to avoid when choosing a DRF treatment (in descending order) were the longer time to full recovery (IS, 24.9; 95% confidence interval [CI]: 23.4-26.3), longer time spent in a cast (IS, 22.8; 95% CI, 21.5-24.2), and higher complication rates (IS, 18.4; 95% CI, 16.9-19.8). Meanwhile, for patients with a history of a DRF, the most important attributes to avoid (in descending order) were a longer time to full recovery (IS, 25.6; 95% CI, 23.3-27.9), longer time spent in a cast (IS, 22.8; 95% CI, 19.9-25.7), and abnormal alignment of the radius on x-ray (IS, 18.3; 95% CI, 15.4-21.3). For both the groups, the least concerning attributes based on the IS were appearance-scar, appearance-bump, and the need for anesthesia. CONCLUSIONS: Eliciting patient preferences is a vital component of shared decision-making and advancing patient-centered care. As conceptualized in this MaxDiff analysis, when choosing a DRF treatment, patients mostly want to avoid a longer time to full recovery and a longer time in a cast, whereas patients have the least concern about appearance and need for anesthesia. CLINICAL RELEVANCE: Eliciting patient preferences is a vital component of shared decision-making. Our results may provide guidance to surgeons in discussions on the relative benefits of surgical and nonsurgical DRF treatments, by quantifying the most and least important factors to patients.",2023,Jun,J Hand Surg Am,48,6,575-584,,10.1016/j.jhsa.2023.03.004,37029035,#1199,Phan 2023,,,1
Updated Immunotherapy for Gastric Cancer.,Narita Y; Muro K,"Gastric cancer treatments are evolving rapidly. For example, immune checkpoint inhibitors, especially those that target PD-1 or PD-L1, have long-term efficacy in a subset of gastric cancer patients, and are currently the first-line therapy. Immunotherapies approved for use in untreated gastric cancer patients include monotherapy and chemotherapy-immunotherapy combinations. Major clinical trials have reported efficacy and safety data suggesting that PD-L1 expression is important for regimen selection, although other biomarkers, clinicopathologic factors, and patient preference might also be relevant in other situations. Currently, several novel biomarkers and therapeutic strategies are being assessed, which might refine the current treatment paradigm. In this review, we describe the current treatment regimens for patients with gastric cancer and detail the approach we use for the selection of first-line immunotherapy regimens.",2023,Apr,J Clin Med,12,7,,,10.3390/jcm12072636,37048719,#1342,Narita 2023,,,0
Factors that influence intensive care admission decisions for older people: A systematic review.,Foley C; Bloomer M; Hutchinson AM,"BACKGROUND: The population worldwide is rapidly ageing, and demand for intensive care is increasing. People aged 85 years and above, known as the oldest old, are particularly vulnerable to critical illness owing to the physiological effects of ageing. Evidence surrounding admission of the oldest old to the intensive care is limited. OBJECTIVE: The objective of this study was to systematically and comprehensively review and synthesise the published research investigating factors that influence decisions to admit the oldest old to the intensive care unit. METHOD: This was a systematic review and narrative synthesis. Following a comprehensive search of CINAHL, Embase, and Medline databases, peer-reviewed primary research articles examining factors associated with admission or refusal to admit the oldest old to intensive care were selected. Data were extracted into tables and narratively synthesised. RESULTS: Six studies met the inclusion criteria. Three studies identified factors associated with admission such as greater premorbid self-sufficiency, patient preferences, alignment between patient and physicians' goals of treatment, age less than 85 years, and absence of cancer, or previous intensive care admission. Factors associated with refusal to admit were identified in all six studies and included limited or no bed availability, level of ICU physician experience, patients being deemed too ill or too well to benefit, and older age. CONCLUSIONS: Published research investigating decision-making about admission or refusal to admit the oldest old to the intensive care unit is scant. The ageing population and increasing demand for intensive care unit resources has amplified the need for greater understanding of factors that influence decisions to admit or refuse admission of the oldest old to the intensive care unit. Such knowledge may inform guidelines regarding complex practice decisions about admission of the oldest old to an intensive care unit. Such guidelines would ensure the specialty needs of this population are considered and would reduce admission decisions that might disadvantage older people.",2023,Mar,Aust Crit Care,36,2,274-284,,10.1016/j.aucc.2021.12.006,35144889,#1497,Foley 2023,,,0
Whether preferences of gastric cancer patients after surgery for follow-up change over time? Analysis based on discrete choice experiment.,Peng X; Hui-Qin L; Xia H,"PURPOSES: The purposes of this discrete choice experiment are as follows: (1) quantify the relevant characteristics that may affect the follow-up selection of gastric cancer patients after surgery and (2) explore the differences in follow-up preferences of gastric cancer patients at different stages and reveal the change trend of preferences over time, thereby providing references for the formulation and optimization of follow-up strategies. METHODS: A survey instrument that was developed using the design principle of a discrete choice experiment investigated gastric cancer patients on the day of discharge, and at 3 months, 6 months, and 12 months after discharge. In Stata 15.0, a mixed logit model was used to explore the preferences of gastric cancer patients after surgery at different stages, the willingness to pay was calculated, and the NLCOM command was used to simulate the follow-up uptake rates of different attribute levels at different stages. RESULTS: On the day of discharge, and 3 months, 6 months, and 12 months after discharge, the most important attribute levels of gastric cancer patients after surgery were ""thoroughness-very thorough,"" ""method-face-to-face,"" ""thoroughness-very thorough,"" and ""provider-specialist nurse,"" respectively, and patients were willing to pay more for these services. Patients' preference for the attribute level ""very thorough"" decreased over time, while their preferences for ""specialist doctors"" as follow-up providers remained relatively stable. Furthermore, the attribute levels with the greatest effect on receiving the baseline follow-up program varied across stages. CONCLUSION: The gastric cancer patients' preferences for follow-up change over time, and the time factor should be considered when developing follow-up strategies.",2023,Mar,Support Care Cancer,31,4,234,,10.1007/s00520-023-07699-2,36964800,#1402,Peng 2023,,,1
Urological Guidelines for Kidney Stones: Overview and Comprehensive Update.,Akram M; Jahrreiss V; Skolarikos A; Geraghty R; Tzelves L; Emilliani E; Davis NF; Somani BK,"BACKGROUND: Evidence-based guidelines are published by urological organisations for various conditions, including urolithiasis. In this paper, we provide guidance on the management of kidney stone disease (KSD) and compare the American Urological Association (AUA) and European Association of Urologists (EAU) guidelines. METHODS: We evaluate and appraise the evidence and grade of recommendation provided by the AUA and EAU guidelines on urolithiasis (both surgical and medical management). RESULTS: Both the AUA and EAU guidelines provide guidance on the type of imaging, treatment options, and medical therapies and advice on specific patient groups, such as in paediatrics and pregnancy. While the guidelines are generally aligned and based on evidence, some subtle differences exist in the recommendations, but both are generally unanimous for the majority of the principles of management. CONCLUSIONS: We recommend that the guidelines should undergo regular updates based on recently published material, and while these guidelines provide a framework, treatment plans should still be personalised, respecting patient preferences, surgical expertise, and various other individual factors, to offer the best outcome for kidney stone patients.",2024,Feb,J Clin Med,13,4,,,10.3390/jcm13041114,38398427,#362,Akram 2024,,,0
Development of vaccines for Chagas disease (CRUZIVAX): stakeholders' preferences and potential impacts on healthcare.,Ramponi F; Aerts C; Sartor P; Pinazo MJ; Freilij H; Guzmán CA; Malchiodi E; Sicuri E,"A vaccine for Chagas disease does not currently exist. This study aims to inform the development of two vaccines for the prevention and treatment of Trypanosoma cruzi infection, and guide their pre-clinical phase up to clinical phase I. The three main objectives are: 1) to explore patients' and policy makers' preferences on the candidate vaccines in Argentina and Spain; 2) to investigate health-related quality of life of patients affected by Chagas disease; and 3) to assess the potential health provider savings associated with the vaccines, in terms of resource use and health care costs. Discrete choice experiments will be employed to estimate and characterize the theoretical demand for the vaccines and investigate patients' and policy makers' preferences. Health-related quality of life will be assessed using the EQ-5D-3L questionnaire. Resources use and costs associated with Chagas disease will be investigated using information from the databases of the Hospital Clínic of Barcelona.",2023,,Gac Sanit,37,,102275,,10.1016/j.gaceta.2022.102275,36563537,#1628,Ramponi 2023,,,1
