Topic	Count	Name	Representation	Representative_Docs
9	26	9_mental_mental illness_service user_sdm	['mental', 'mental illness', 'service user', 'sdm', 'psychiatric', 'mental service', 'mental healthcare', 'schizophrenia', 'community mental', 'psychosis']	['continuity experienced mental service user people struggle mental problem provide valuable insight understanding improving coordination mental welfare service aim explore service user experience perception continuity within across service relevant personal recovery elicit dimension continuity essential service user generate idea improving service user experience continuity context hermeneuticphenomenological approach ten service user community mental centre interviewed experience continuity across service eight reinterviewed two year later collaborative research approach adopted data analysed mean datadriven stepwise approach line thematic following five theme representing experience continuity developed theme ranged poor good experience continuity relationship experiencing frequent setback anxiety due break relationship feeling safe ongoing personal relationship timeliness experiencing frustrating waiting time worsening problem getting help needed mutuality onesided struggle situation professional service user take initiative opportunity make practical arrangement within context one everyday life array support option choose knowledge feeling confused insecure one know happening feeling safe one informed going happen provided range suggestion improving experience continuity discrepancy aspect continuity essential service user experience actual practice revealed valid evidence generated present collaborative therefore offer knowledge policy maker professional service user help future effort orienting primary mental addiction welfare service towards recovery', 'perception severe mental illness integrative known increasing evidence positive impact outcome little exploration regarding people diagnosed serious mental illness perspective key stakeholder including consumer family mental professional paper add existing knowledge consumer show variability involvement stakeholder acknowledge importance family involvement mhps share responsibility right facilitate consumer involvement bidirectional association therapeutic relationship practice related multiple factor one main perceived barrier time majority western country implication practice elicit consumer establish collaborative therapeutic relationship encourage engage family interprofessional collaboration integrated might require lengthier consultation time nonwestern country needed fully understand impact culture abstract introduction sdm broadly advocated service constitutes component patientcentred relationshipbased aim available literature related perception key stakeholder serious mental illness method integrative conducted search four online database january june fortysix article included six theme generated data dynamic sdm b various stakeholder rarely involved c sdm routinely implemented multiple facilitator barrier sdm e sdm therapeutic relationship interact f sdm promising impact outcome discussion overall stakeholder recognized importance flexibility sdm serious mental illness although routine mental service consumer show variability involvement stakeholder acknowledged importance family involvement several significant challenge practice sdm require extended consultation time increasing empirical evidence regarding sdm outcome well integrating interprofessional collaboration sdm conducted western culture implication practice mental nurse elicit consumer establish collaborative therapeutic relationship encourage engage family consumer prefer family involved interprofessional collaboration integrated practice might need extended consultation time robust evidence nonwestern culture needed fully understand cultural issue', 'family involvement consumer serious mental illness despite robust evidence efficacy family service individual diagnosed serious mental illness limited availability drastically underutilized underutilization due mismatch consumer family service offered first report expressed consumer serious mental illness family involvement enrolled mental consumer serious mental illness contact family family regularly involved mental consumer recruited outpatient mental clinic three large medical center two veteran integrated service network interview elicited demographic characteristic regarding family involvement perceived benefit barrier involvement chart diagnosis measure symptom severity family functioning contact collected seventyeight percent consumer wanted family member involved many desired involvement several method consumer concerned impact involvement family member consumer degree perceived benefit family involvement significantly predicted degree desire family involvement analysis controlled service need family conflict familyrelated quality life symptom severity enabling factor family contact family capacity demographic variable age gender race living family marital status barrier perceived consumer extent overall support family involvement coupled heterogeneity preferred mode concern anticipated benefit underscore imperative offer diverse family service elicit consumer regarding whether involve family']
10	25	10_child_kidney replacement_ckd_family member	['child', 'kidney replacement', 'ckd', 'family member', 'icu', 'parent', 'critically ill', 'tree nut', 'caregiver', 'ill']	['identifying outcome young people ckd caregiver nominal group technique chronic kidney ckd wideranging longterm consequence young people family omission outcome young people ckd caregiver limit knowledge guide aimed identify outcome young people ckd caregiver used nominal group technique whereby identified ranked outcome explained priority young people ckd stage dialysis transplantation caregiver purposively sampled center across australia united state canada importance score calculated scale data analyzed thematically aged year caregiver participated group identified outcome highest ranked outcome survival importance score physical activity fatigue lifestyle restriction growth caregiver kidney function survival infection anemia growth theme identified reflecting immediate current priority wanting feel normal strengthening resilience minimizing intrusion life imminent threat life devastating family burden seeking control consideration regarding future impact protecting healthdevelopment remaining hopeful concern limited opportunity prognostic uncertainty dreading painful invasive procedure managing expectation englishspeaking recruited kidney function infection survival growth highest priority ckd caregiver young people ckd also prioritized highly outcome directly affected lifestyle sense normality caregiver highest priority concerned longterm child current problem financial family burden caring child ckd', 'word research improve child chronic kidney familycentered hailed hallmark highquality pediatric partnership family healthcare provider central caring child chronic kidney ckd given longterm profound impact development quality life child paradigm hinge comprehensive detailed understanding need belief value child ckd family however perspective remain undisclosed timelimited consultation belief disclose concern would jeopardized research provides avenue child family articulate perspective experience thereby generate relevant indepth often compelling insight inform yet remain sparse biomedical journal increasing awareness role research improving outcome child adolescent ckd understanding conduct rigor required article outline research generate relevant evidence inform practice policy child ckd provide overview method introduce framework appraise research evidence derived research needed inform development intervention policy address priority child ckd family ultimately strategy help improve outcome regard critical', 'selection receipt kidney replacement critically ill aki intensive unit greater aki however use kidney replacement population poorly characterized describe trigger outcome associated kidney replacement aki intensive unit prospective cohort canadian hospital september november year old critically ill severe aki exclusion criterion urgent kidney replacement toxin eskd recorded trigger kidney replacement primary exposure reason receiving kidney replacement mortality primary kidney recovery mean sd age year old charlson comorbidity score median interquartile range frailty scale score receiving mechanical ventilation vasoactive support clinician willing offer kidney replacement received kidney replacement main trigger kidney replacement oligoanuria fluid overload acidemia whereas main reason receiving anticipated recovery consistent ninetyday mortality similar receive kidney replacement versus adjusted hazard ratio confidence interval however offer kidney replacement varied significantly mix acuity perceived benefit difference healthrelated quality life rehospitalization survivor critically ill severe aki perceived candidate kidney replacement approximately one half received offer kidney replacement reason starting showed heterogeneity due range patientspecific factor clinician perception benefit']
11	24	11_dces_attribute_bestworst scaling_stakeholder	['dces', 'attribute', 'bestworst scaling', 'stakeholder', 'respondent', 'attribute level', 'elicitation method', 'experiment dces', 'elicitation', 'elicit']	['novel design process selection attribute inclusion experiment case exploring variation thrombolysis acute ischaemic stroke dce method used elicit relative importance different attribute level within process dces become popular healthcare however approach identify attributeslevels influencing interest selection method inclusion dce underreported objective explore development process used selectpresent attributeslevels identified range influential describe rigorous development process design dce context thrombolytic acute stroke discus advantage fivestage approach enhance current guidance developing dces fivestage dce development process undertaken method employed included literature interview ethnographic data expert panel discussion quantitative structured prioritisation ranking exercise pilot testing dce think aloud approach fivestage process reported helped reduce list initial patientrelated factor final set nine variable factor six fixed factor inclusion testable dce vignette model presentation order data conclusion generated dces deemed valid crucial method design development documented reported paper detailed rigorous approach dce development useful researcher seeking establish method reducing prioritising attribute inclusion future dces', 'efficient design used experiment difficult respondent case eliciting endoflife although efficient design sample size advantage experiment dces hypothesised biased estimate owing respondent simplistic heuristic main objective provide case documenting many respondent choose basis single attribute exposed highly efficient dce design switch conventional multiattribute rule design efficiency lowered resulting le need trade across attribute additional objective included comparison size estimated coefficient characterisation heterogeneity thus providing evidence magnitude bias likely present highly efficient design five hundred twentyfive respondent participating wider endoflife answered two dces varied design efficiency first street burgess efficient orthogonal main effect plan design top bottom level attribute second dce comprised one eighth full orthogonal main effect plan pair linear probability model estimated every respondent complete utility function number respondent answering basis one attribute level noted proportion violated rule le efficient dce latent class analysis used identify heterogeneity sixty per cent respondent answered eight task comprising single attribute used rule choose cheapest endoflife plan however answering four le efficient task one third overall traded across attribute least whose rule could described qualitatively latent class model identified two class compared class one class two concerned quality rather cost wished die institution rather home higher efficiency also associated smaller regression coefficient suggesting either weaker lower consistency larger error first withinsubject investigate association dce design efficiency utility estimate found majority people trade across attribute efficient design one third trade le efficient design withinsubject required establish common future dces attempt maximise joint function statistical cognitive efficiency maximise overall efficiency minimise bias', 'attribute experiment literature experiment dces used elicit current future healthcare professional different aspect healthcare integral part healthcare despite use attribute dces consistently highlighted area research current method incorporating attribute dces reviewed explicitly aimed systematically identify published healthcare dces incorporated attribute summarise appraise method used present analyse attribute recommend best practice regarding including analysing transparently reporting methodology supporting attribute future dces web science medline embase psycinfo econlit database searched april dces included attribute published since april identify assessing communication general nondce literature healthcarerelated dces attribute mentioned suggested titleabstract obtained retained final attribute meeting definition included extracted data tabulated critically appraised summarise quality reporting format presentation interpretation attribute summarised identified healthcare dces incorporated least one attribute whilst evidence good practice incorporated presentation attribute little evidence found developing method recommendation discipline effective method validation communication systematically applied dces general reviewed dce thoroughly report methodology supporting explanation training material impact framing exploring validity communication primary limitation method underlying presentation format attribute could appraised extent reported improvement reporting transparency presentation conception dces needed define best practice research needed test process communicating affect way people attribute dces']
12	23	12_attribute_data_cost attribute_consumer	['attribute', 'data', 'cost attribute', 'consumer', 'respondent', 'dces', 'healthrisk attitude', 'value clarification', 'attitude', 'mitigation']	['empirical comparison method analyzing correlated data elicit colorectal cancer screening dce asks make product portfolio comparing key product characteristic performing several task analyzing dce data need account withinparticipant correlation choice participant likely similar empirically compared commonlyused statistical method analyzing dce data accounting withinparticipant correlation based colorectal cancer crc screening test conducted hamilton ontario canada twostage dce design used investigate impact six attribute crc screening test undertake test compared six model clustered binary outcome logistic probit regression clusterrobust standard error se randomeffects generalized estimating equation approach three model clustered nominal outcome multinomial logistic probit regression clusterrobust se randomeffects multinomial logistic model also fitted bivariate probit model clusterrobust se treating choice two stage two correlated binary outcome rank relative importance attribute estimate coefficient within attribute used ass model robustness total completing choice analyzed similar reported rank relative importance coefficient across model stageone data evaluating test six attribute ranked high low follows cost specificity process sensitivity preparation pain however differed across model stagetwo data evaluating undertake test little withinpatient correlation icc found stageone data substantial withinpatient correlation existed icc stagetwo data small clustering effect presented dce data remained robust across statistical model however varied larger clustering effect presented therefore ass robustness estimate via sensitivity different model analyzing clustered data dce', 'public regarding data linkage research comparing scotland sweden increasing example linking data healthcare resource use outcome different sector social system linked data generally anonymised meaning jurisdiction legal restriction use research conducted public private organisation secondary use anonymised linked data contentious jurisdiction jurisdiction known use linked data public perception acceptability linked data likely depend number factor aimed quantify public understand factor affected view type linked data use two jurisdiction online dce previously conducted scotland adapted replicated sweden dce designed comprising five attribute elicit representative sample public jurisdiction five attribute number level type researcher linked data four type data linked four purpose research three use profit linked data four oversees research four dce contained choicesets asking respondent select preferred option two scenario state neither acceptable background question included sociodemographics dce data analysed conditional heteroskedastic conditional logit model create forecast acceptability sample comprised member public living scotland sweden five attribute driving respondent choice swedish scottish mostly homogenous exception oversees research linked data relatively le impact choice observed scotland defined typical linked data scenario probability average acceptance sweden scotland suggests public living scotland sweden open anonymised linked data certain scenario research purpose caution advisable anonymised linked data join nonhealth data', 'pay pay cost information processing valuation publicly funded healthcare experiment dces commonly include monetary attribute enables pay wtp monetary measure benefit estimated nonmonetary attribute concern inclusion cost attribute challenge credibility valuing publicly funded healthcare system however little research explored issue uk sample allocated across two version dce one including cost attribute excluding cost attribute dce identical respect find significant difference response time across two survey monotonicity higher cost dce cost stated commonly ignored attribute cost dce whilst inclusion cost attribute alter structure resulted lower level consistency unrestricted latent class model find evidence credibility effect respondent experience paying service perceive choice realistic le likely ignore cost respondent higher response time le likely cost minimisers robust across different model specification format dce practitioner give due consideration cost credibility including cost attribute ensuring engage cost attribute way suggested including careful motivation cost attribute consideration appropriate payment vehicle careful consideration cost attribute developing piloting failure invalid pay estimate thus policy recommendation']
13	22	13_polst_surrogate_icu_acp	['polst', 'surrogate', 'icu', 'acp', 'resident', 'clinician surrogate', 'endoflife practice', 'family member', 'practice', 'surrogate maker']	['discussing level lifesustaining development pilot testing danish polst form medically frail andor chronically ill often admitted danish hospital without documentation lead inappropriate modelled american order lifesustaining polst form purpose develop pilot test danish polst form ensure level lifesustaining known documented mixed method initial phase danish polst form developed basis literature recommendation national polst organisation u pilot test danish polst form conducted hospital ward general practitioner clinic nursing home eligible inclusion death assessed likely within month hisher engaged conversation value belief goal diagnosis prognosis alternative discussed polst form completed based value family member andor nursing staff could participate assessment polst form evaluated questionnaire indepth interview conducted explore experience polst form conversation total participated questionnaire completed interview conducted found polst form readable understandable found polst form usable high high degree discussing regarding lifesustaining three theme emerged interview understandable document essential conversation b handling discussing wish c significance future danish version polst form assessed family physician nurse useful model obtaining documenting danish lifesustaining however need confirmed largerscale', 'clinician discus critically ill value surrogate empirical although requires clinician discus value little known extent occurs surrogate icu sought ass whether clinician talk surrogate incapacitated value prospective crosssectional five icu two hospital fiftyfour physician surrogate audiorecorded conference clinician surrogate discussed lifesustaining incapacitated near end life two coder independently coded instance clinician surrogate discussed previously expressed value subcoded value commonly near end life also coded recommendation clinician incorporated value conference discussion previously expressed value clinician surrogate discussed value remaining clinician surrogate discussed either value conference conversation value regarding autonomy independence emotional wellbeing relationship physical function cognitive function spirituality average sd range word spoken pertained value roughly third icu family conference high death neither clinician surrogate discussed value endoflife le conference address value high importance cognitive physical function intervention needed ensure value elicited integrated endoflife icu', 'clinicianfamily communication value intensive unit little known whether clinician surrogate maker follow recommended strategy incorporating intensive unit icu value determine often clinician surrogate exchange information previously expressed value deliberate plan based factor conference prognosis goal incapacitated icu secondary prospective multicenter cohort audiorecorded clinicianfamily conference surrogate clinician incapacitated critically ill adult conducted performed october october data performed july april eligibility criterion included lack capacity diagnosis acute respiratory distress syndrome predicted inhospital mortality addition surrogate clinician icu u academic community medical center included two coder analyzed transcript audiorecorded conversation statement clinician surrogate exchanged information healthrelated value applied deliberation planning men mean sd age year conference addressed goal ci contained information exchange deliberation value clinician surrogate exchanged information value ci conference specifically deliberated value applied ci endoflife consideration physical cognitive social functioning spirituality discussed le conference surrogate provided substituted judgment clinician made recommendation based value conference clinicianfamily conference prognosis goal critically ill appear lack element communication value robust deliberation particularly deficient intervention needed better prepare surrogate conversation improve clinician communication skill eliciting incorporating value']
14	21	14_hta_european_assessment_technology assessment	['hta', 'european', 'assessment', 'technology assessment', 'research', 'regulatory', 'attribute', 'pi', 'policy', 'heterogeneity']	['latent class model heterogeneity latent class lca increasingly used explore heterogeneity literature systematically explored hence best practice understood sought document application lca statedpreference literature inform future identifying current norm published application conducted medline embase econlit web science psycinfo database included statedpreference used lca explore heterogeneity healthcare public two coauthor independently evaluated title abstract fulltext article abstracted key outcome included segmentation method elicitation method number attribute level sample size model selection criterion number class reported hypothesis test data quality validity assessed purpose respondent explanation finding significance prefs quality checklist identified title met inclusion criterion twothirds focused general population total used experiment used three attribute commonly four six sample size lcas ranged onethird used latent class logit model segmentation bayesian information criterion bic akaike information criterion aic loglikelihood commonly used model selection class size interpretability also considered reported two three class number class reported correlated characteristic population characteristic reported statistical test detect significant variation class le half reported individual characteristic included segmentation model reported postestimation analysis conducted examine class characteristic higher percentage discussed implication segmentation increasing number proposed policy recommendation based segmentation since lca increasingly used heterogeneity support however little consensus best practice application relatively new increasing demand heterogeneity guidance needed improve quality application segmentation method support policy development practice', 'next technology assessment challenge integrating technology assessment hta argued improve uptake adherence satisfaction however elicit incorporate hta scientifically valid manner subject debate article provides challenge integrating hta raised literature hta article published addressing challenge integration hta conducted database issue respect integration hta extracted divided category conceptual normative procedural methodological practical issue issue ranked according often mentioned retrieved article included thirtyseven unique research issue identified majority article methodological issue posed followed procedural normative practical conceptual issue frequently posed methodological issue concerned heterogeneity method common procedural issue concerned evaluate impact degree evidence based article provides overview issue respect integration hta procedure issue methodological procedural nature yet large number different issue point overall importance researching different aspect concerned hta ranking many article mention particular issue article proposes implicit research agenda', 'use information benefitrisk assessment technology assessment pricing reimbursement literature attempt initiative objective inclusion pp data largely discussed recent year healthcare makersregulatory technology assessment htaare conscious need patientcentered approach decide optimal allocation scarce money time technological resource literature aim examine use recommendation integration pp method literature search conducted pubmedmedline identify publication pp used inform benefitrisk assessment bra htas patientcentered project guideline related inclusion pps policy title abstract screening fulltext selected publication analyzed retrieve data related collection use andor submission pps informing bra hta well attempt initiative recommendation pps integration process fortynine article included attempt pilot project discussion pp elicitation quantitative approach particularly experiment used quantitative elicitation objective assessing pps prioritize outcomespecific information characteristic provide patientfocused benefitrisk tradeoff appraise pay new technology moreover attempt pilot project integrate pps bra htas identified european level across country clear recommendation issued yet le seven public andor private initiative undertaken governmental agency independent organization set guidance targeting improvement involvement conclusion despite initiative undertaken pace progress remains slow use pps remains poorly implemented evidence proper use data lacking guideline recommendation formalizing purpose collecting pps methodology adopted responsible generating data throughout process needed improve empower integration pps bra hta']
15	21	15_fall_low pain_disability_exercise program	['fall', 'low pain', 'disability', 'exercise program', 'ahp', 'physiotherapy', 'fall prevention', 'npq', 'physiotherapist', 'lbp']	['eliciting people exercise program bestworst scaling relative people previous fall mobilityrelated disability attach different attribute exercise prospective bestworst scaling two hundred twenty communitydwelling people aged year presented previous fall mobilityrelated disability online facetoface questionnaire utility value different exercise attribute level utility level calculated asking select attribute considered best ie likely want participate program attribute worst ie least likely want participate attribute included exercise type time spent exercise per day frequency transport type travel time outofpocket cost reduction chance falling improvement ability undertake task inside outside home attribute exercise program highest utility value homebased exercise need use transport followed improvement ability daily task home cost decreasing chance falling attribute lowest utility travel time minute outofpocket cost per session type exercise travel time cost highly valued people benefit finding suggest physical activity engagement strategy need go beyond education benefit focus improving accessibility exercise program exercise undertaken close home without cost likely taken people past fall andor mobilityrelated disability', 'randomised controlled exercise low back pain outcome cost evaluate effectiveness exercise programme community setting low back pain encourage return normal activity randomised controlled progressive exercise programme compared usual primary management type management elicited independently randomisation aged year mechanical low back pain week month duration exercise class led physiotherapist included strengthening exercise main muscle group stretching exercise relaxation session brief education back cognitivebehavioural approach used assessment debilitating effect back pain intervention month year later measure included roland disability questionnaire aberdeen back pain scale pain diary use healthcare service week randomisation intervention group improved marginally control group disability questionnaire reported le distressing pain month year intervention group showed significantly greater improvement disability questionnaire score mean difference change confidence interval year intervention group also showed significantly greater improvement aberdeen back pain scale reported day work compared control group intervention group used fewer healthcare resource influenced exercise class clinically effective traditional general practitioner management regardless cost effective', 'people considering exercise prevent low back pain recurrence prefer exercise program differ program known effective program participant characteristic influence people undertake exercise program prevent recurrence low back pain six hundred fortyseven people recent history low back pain recruitment participation occurred online randomised block task characteristic exercise program varied systematically characteristic presented exercise program mode exercise delivery mode supervision setting duration weekly frequency travel time recurrence cost task chose program exercise program characteristic presented choice analysed mixed logit model latent class model examined heterogeneity identified participantlevel characteristic predictive appeared underlying exercise compared exercise else equal program significantly influenced characteristic program le likely choose exercise program longer duration ci per extra month likely prefer program offering greater reduction recurrence low back pain ci per reduction recurrence engaging exercise program prevent recurrent low back pain influenced characteristic program however mismatch preferred characteristic exercise program characteristic known effective program people low back pain advised explicitly exercise program reduce recurrence understanding low back pain help inform implementation existing prevention program guide design new prevention program']
16	21	16_dental_oral_dentist_dentistry	['dental', 'oral', 'dentist', 'dentistry', 'orthodontic', 'dental service', 'dental practice', 'perceived role', 'tooth', 'public']	['dental nonattender anxiety management technique crosssectional based dental access centre dental anxiety barrier attendance dental nonattender seek emergency prefer receive anxiety management measure required little known dental nonattender different anxiety management technique understanding inform management pathway improve experience alleviate anxiety encourage regular attendance pattern aim gain greater understanding dental anxiety attending dental access centre emergency dental ascertain different anxiety management technique crosssectional involving selfcompleted questionnaire observation nh dental access centre york uk two hundred registered general dental practitioner aged year experiencing pain selfreferred recruited consecutive sampling basis completed questionnaire eliciting demographic dental history detail dental anxiety dental anxiety management option correlation modified dental anxiety scale different dental anxiety management technique significant predictive factor found explained preferring local anaesthetic sedation general anaesthesia restoration extraction highly anxious le likely consider tellshowdo technique watching explanatory video helpful overcoming anxiety low moderate anxiety group people attending access centre represent group unwilling explore nonpharmacological method overcome anxiety support need sedation provide future work include exploring depth thought opinion group improve understanding complex dental attitude effective strategy developed encourage regular dental attendance', 'preferred perceived control dental increasingly considered desirable model medical dental setting support empowering play active role process however dental involvement need perception yet sufficiently assessed aim ass preferred role range dental treatment whether met based crosssectional design dental autonomy actual perceived role surveyed context existing dental appointment consecutive sample adult dental aged questionnaire assessment preferred perceived role dental consisted item representing broad spectrum preventive restorative dental planning administered dental appointment immediately afterward response item indicated ordinal scale adapted control scale difference overall level control response tested statistical significance per wilcoxon matchedpairs signedrank test furthermore multilevel mixed effect linear regression model computed rated preferred role active involved perceived role effect observed statistically significant p lt perceived role followup matched preferred role baseline le half none sociodemographic characteristic substantial statistical effect whether perceived role matched preferred role dental perceived role meet dentist allow encourage active since dental perceived role meet clinician encourage enable dental fulfill role prefer help future fulfill right informed also empower play active role process reduce decisional conflict', 'valuing delivery dental heterogeneity willingnesstopay dental attribute examine amount heterogeneity dental factor affect much would willing pay improvement specific dental attribute dce used elicit three alternative dental service differed type provider explanation dental staff behavior waiting time cost described asked choose preferred alternative conducted public dental clinic school dental medicine university zagreb mixed logit latent class model used average would willing pay getting detailed explanation explanation valued attribute dental followed dental staff behavior marginal willingnesstopay wtp dental provided faculty member private dental valued similarly studentprovided valued le also disliked longer waiting time office least attribute four class distinct dental identified andor educated tended give relatively le importance explanation higher education also associated higher propensity substitute faculty dental private provider large heterogeneity detected understanding improve delivery dental dental provider pay particular attention providing detailed explanation dental andor educated attentive interpersonal characteristic faculty dental provided faculty member could price competitive private studentprovided affordable']
17	20	17_sdm_recommendation_oncology_multidisciplinary	['sdm', 'recommendation', 'oncology', 'multidisciplinary', 'meeting', 'ovarian cancer', 'doctor', 'team meeting', 'qualityoflife priority', 'oncologist']	['importance qualityoflife priority surrounding cancer oncology clinician sdm occurs partner oncologist integrate personal value key component sdm elicitation value yet little known elicited communicated prioritized documented within encounter crosssectional evaluated nationwide data collected cancercare better understand current pattern sdm oncology clinician survey included question importance qualityoflife discussion regarding qualityoflife priority clinician clinician survey included question discussion qualityoflife priority effect qualityoflife priority recommendation qualityoflife priority documentation practice completers response rate predominantly woman diagnosis breast cancer receiving active cancer clinician completers response rate predominately identified hematologist oncologist although clinician reported knowing personal qualityoflife priority finalizing plan reported discussion occurred initiation considered outofpocket expense planning yet reported discussing outofpocket expense clinician finalizing plan majority clinician considered clinic questionnaire feasible document qualityoflife priority clinician reported related qualityoflife considered yet barrier sdm elicitation documentation remain', 'sdm intervention oncologist affect participation style matching breast colon cancer aim ass preferred perceived role matching sample german breast colon cancer investigate sdm intervention oncologist influence preferred perceived role attainment match post hoc randomised controlled rct effect sdm intervention sdm intervention sdm training program physician combination board use analysed subgroup breast colon cancer faced serious provided data specific questionnaire regard preferred perceived role passive sdm active filled questionnaire immediately following decisionrelevant consultation oncologist eleven treating oncologist received sdm intervention within rct majority cancer preferred sdm match preferred perceived role reached treated sdmtrained physician perceived greater autonomy perceiving sdm active role matching influenced sdm intervention oncologist boosted autonomy improve matching highlight already wellknown reluctance physician engage explicit role clarification german register funding source german cancer', 'development primary advancedstage ovarian cancer despite renewed option advanced epithelial ovarian cancer survival remains poor association gynecological oncology working party netherlands identified need tool improve aim develop evidencebased online advanced epithelial ovarian cancer medical team first identified clinician need survey indepth interview second conducted multidisciplinary facetoface meeting representative stakeholder clinician representative determine content third developed standardized criterion national guideline finally tested usability tool clinician participated need assessment clinician indicated need source reliable information include option available netherlands although interviewee satisfied level information available time majority stated offered developed consultation sheet online based interview team discussion sheet contains summary option login code offered first consultation used home includes information epithelial ovarian cancer available option question quality life delivering personalized summary discussion following consultation primary choice cooperation clinician developed advancedstage epithelial ovarian cancer medical team support based confirmed need extensive information source currently assessment multicenter implementation']
18	19	18_hospital_china_service_healthcare	['hospital', 'china', 'service', 'healthcare', 'attribute', 'healthcare service', 'urban china', 'condition perceived', 'hospital attribute', 'quality']	['impact hospital attribute first visit evidence shanghai china underutilization primary urban china threatens efficiency effectiveness chinese system guide flow primary chinese government rolled sequence reform improve affordability infrastructure workforce primary system however measure yielded desired effect utilization primary lowest urban area unclear factor identified influence facility urban china actually impacting behaviour conducted elicit quantitative impact facility attribute choosing facility first visit analysed stated varies attribute found respondent placed different weight identified attribute depending whether perceived condition minor severe condition perceived minor respondent valued visit time equipment medical skill condition perceived severe placed importance equipment travel time facility size found condition perceived minor preferred visiting facility opting percentage would double community centre maximally improved condition perceived severe improvement community centre almost double first visit primary mostly would otherwise choose higherlevel facility finding suggest severity condition improvement medical equipment medical skill community centre urban china effectively direct flow primary promote efficiency effectiveness urban system', 'noncommunicable disease primary healthcare facility wuhan china elicit stated noncommunicable disease ncds primary healthcare phc facility explore willingnesstopay wtp facility attribute dce conducted face face interview dce constructed five attribute type service measure cost travel time provider pay facility attribute analyzed mixed logit model interaction term used ass heterogeneity different sociodemographic characteristic placed different weight attribute depending whether perceived condition minor severe condition perceived minor valued measure travel time provider condition perceived severe valued measure provider type service wtp related change traditional chinese medicine tcm service modern medicine mm service largest severity scenario condition perceived minor would willing pay cny usd reduction travel time min condition perceived severe wtp related change general service specialized service junior medical practitioner senior medical practitioner highly valued respondent worth cny usd cny usd respectively factor related provision phc measure provider type service highly valued finding could contribute design better phc delivery improve participation phc provide evidence promote', 'heterogeneity utilization community resident china stated tackle issue low usage primary healthcare service china essential align resource distribution community resident academic research describing resident perceived characteristic healthcare service china aim investigate healthcare service utilization community resident explore heterogeneity finding useful policy maker take targeted measure tailor provision healthcare service facetoface interview survey conducted elicit four key attribute provider mode service cost travel time community resident healthcare utilization rational test presented first confirm consistency pair task sociodemographic item given respondent two hypothetical option set without optout option presented task latent class lca used analyse data two thousand one hundred sixty respondent community city recruited respondent completed valid dce questionnaire lca suggested four group similar identified first group labelled comprehensive consideration even four attribute second group labelled pricedriven preferred lowprice healthcare service third group labelled near distance showed clear seeking healthcare service nearby fourth group labelled quality seeker preferred healthcare service provided expert pay wtp showed people willing accept traditional chinese medicine tcm service willing pay service provided expert qualitatively measure distinct healthcare utilization community resident china suggest provider mode service travel time cost considered priority setting however reveals substantial disagreement opinion tcm different population subgroup']
19	17	19_cam_medicine_acupuncture_gps	['cam', 'medicine', 'acupuncture', 'gps', 'practitioner', 'conventional medicine', 'cam service', 'consultation', 'alternative medicine', 'chronic condition']	['navigating path exploration new zealand general practitioner view integration acupuncturists increasingly many believe combined approach complementary alternative medicine cam including acupuncture conventional medicine better either desire discus cam wellinformed general practitioner gps however knowledge interaction collaboration gps acupuncturists specifically relation investigated research explored interprofessional communication gps acupuncturists new zealand article specifically report gps viewpoint part larger mixedmethods research project semistructured interview purposively sampled gp conducted analysed thematic data identified facilitator barrier integrative facilitator included gps engage communication recognition importance barrier included limited opportunity sharing information lack current established pathway communication direct referral gps also highlighted confusion around scope practice term different style approach acupuncture research contributes body knowledge concerning interprofessional communication collaboration gps acupuncturists suggests significant barrier collaboration also potential impact provider satisfaction wellbeing provides context within new zealand setting also provides additional insight regarding acupuncture specifically disaggregation specific cam modality', 'inpatient belief stated pay complementary alternative medicine treatment research demonstrates benefit complementary alternative medicine cam myriad environment yet majority cam service offered outpatient setting incorporating cam hospital setting lead increased comfort wellbeing overall satisfaction hospital admission examined cam service inpatient therefore assessed inpatient belief regarding cam well stated pay service adult ranging age year year year recruited hospitalization university california san diego healthcare system inpatient completed brief individual interview gather perspective common cam service including acupuncture aromatherapy art guided imagery healthy food humor massage music pet reiki stress management inpatient asked cam therapy perceived potentially helpful pay therapy perceived belief regarding use therapy inpatient commonly perceived healthy food massage humor helpful willing pay healthy food massage stress management inpatient commonly believed cam treatment would provide relaxation increase wellbeing increase overall satisfaction hospitalization suggests cam service beneficial addition hospital demonstrated inpatient interest stated pay service finding help organizational leader choice regarding development cam service within hospital particularly since significant percentage inpatient reported cam service would increase overall satisfaction hospitalization merit attention given need increase cost saving enhancing overall experience today medical marketplace', 'factor influence practitioner interpretation evidence alternative medicine factorial vignette embedded national evidence controversial area complementary alternative medicine cam must approached open mind determine factor influence practitioner interpretation evidence cam mailed u cam conventional medicine practitioner included hypothetical factorial vignette positive negative research cam vignette contained randomly varied journal annals internal medicine v journal complementary alternative medicine cam type acupuncture massage glucosamine meditation reiki response item also included randomly varied circumstanceschronic refractory symptom requesting cam practitioner rated effectiveness recommend described used logistic regression determine independent influence factor respondent effectiveness legitimacy judgment total practitioner responded relative reiki conventional medicine practitioner willing recommend glucosamine ci massage acupuncture meditation cam practitioner rated acupuncture effective cam therapy compared reiki willing recommend acupuncture presented evidence inefficacy cam practitioner willing recommend acupuncture relative cam therapy practitioner judgment cam evidence depend type treatment reported confirmation bias play role translation new evidence']
