title,abstract,label
Clinical Investigation of Large Volume Subcutaneous Delivery up to 25 mL for Lean and Non-Lean Subjects.,"PURPOSE: To evaluate the clinical feasibility and tolerability of large volume subcutaneous delivery at different injection depths for lean and non-lean subjects. METHODS: A single-center, randomized, subject-blinded, crossover study in 62 healthy subjects was conducted to evaluate delivery of a 10-cP solution containing hyaluronic acid. Subjects were separated into lean and non-lean cohort by SC thickness. A syringe pump was used to study the effect of different volumes (5, 12, 25 mL) of a viscous placebo solution and needle lengths (6, 9 and 12 mm) delivered at 0.5 mL/min. RESULTS: Across all treatments, injection sites were observed to have negligible leakage, ~34 kPa of back pressure, and VAS of mild pain with higher pain from needle insertion than during injection. While mild to moderate erythema was the most frequently reported ISR and edema was most prominent for 25 mL injections, all ISRs were resolved within 4 hours post injection. Subjects were unbothered by ISRs across all treatments and rated them as low distress scores (average 1.0-1.5 out of 6). CONCLUSION: SC injection of 25 mL is feasible and tolerable using a low-pain formulation for abdomen injection irrespective of subcutaneous thickness and injection depths at a delivery rate of 0.5 mL/min.",0
Factors Associated With Mode of Separation for People With Palliative Diagnoses With Preference for Home Death Receiving Care From a Nurse-Led End of Life (Palliative Extended and Care at Home) Program.,"Palliative Extended and Care at Home (PEACH) is a rapid response nurse-led package of care mobilized for palliative care patients who have an expressed preference to die at home. This study aimed to identify the demographic and clinical predictors of home death for patients receiving the package. Deidentified data were used from administrative and clinical information systems. Univariate and multivariate analyses were conducted to assess association of sociodemographic factors with mode of separation. Furthermore, 1754 clients received the PEACH package during the study period. Mode of separation was home death (75.7%), hospital/palliative care unit admission (13.5%), and alive/discharged from the PEACH Program (10.8%). Of participants with clear preference to die at home, 79% met their wish. Multivariate analysis demonstrated cancer diagnosis, patients who wished to be admitted when death was imminent, and patients with undecided preference for location of death were associated with an increased likelihood of being admitted to the hospital. Compared with those with spousal caregivers, those cared for by their child/grandchild and other nonspouse caregivers were significantly associated with a decreased likelihood of being admitted to the hospital/palliative care unit. Our results show that opportunities to tailor home care based on referral characteristics to meet patient preference to die at home, at individual, system, and policy levels, exist.",0
Patient Preference Trade-offs for Next-Generation Kidney Replacement Therapies.,"BACKGROUND: Next-generation implantable and wearable KRTs may revolutionize the lives of patients undergoing dialysis by providing more frequent and/or prolonged therapy along with greater mobility compared with in-center hemodialysis. Medical device innovators would benefit from patient input to inform product design and development. Our objective was to determine key risk/benefit considerations for patients with kidney failure and test how these trade-offs could drive patient treatment choices. METHODS: We developed a choice-based conjoint discrete choice instrument and surveyed 498 patients with kidney failure. The choice-based conjoint instrument consisted of nine attributes of risk and benefit pertinent across KRT modalities. Attributes were derived from literature reviews, patient/clinician interviews, and pilot testing. The risk attributes were serious infection, death within 5 years, permanent device failure, surgical requirements, and follow-up requirements. The benefit attributes were fewer diet restrictions, improved mobility, pill burden, and fatigue. We created a random, full-profile, balanced overlap design with 14 choice pairs plus five fixed tasks to test validity. We used a mixed-effects regression model with attribute levels as independent predictor variables and choice decisions as dependent variables. RESULTS: All variables were significantly important to patient choice preferences, except follow-up requirements. For each 1% higher risk of death within 5 years, preference utility was lower by 2.22 ( β =-2.22; 95% confidence interval [CI], -2.52 to -1.91), while for each 1% higher risk of serious infection, utility was lower by 1.38 ( β =-1.46; 95% CI, -1.77 to -1.00) according to comparisons of the β coefficients. Patients were willing to trade a 1% infection risk and 0.5% risk of death to gain complete mobility and freedom from in-center hemodialysis ( β =1.46; 95% CI, 1.27 to 1.64). CONCLUSIONS: Despite an aversion to even a 1% higher risk of death within 5 years, serious infection, and permanent device rejection, patients with kidney failure suggested that they would trade these risks for the benefit of complete mobility.",1
How does patient-centered communication influence patient trust?: The roles of patient participation and patient preference.,"OBJECTIVE: The aim of this study was to examine the effects of patient-centered communication, patient participation, and patient preference on patient trust in the context of China. METHODS: A cross-sectional survey was conducted involving 217 cancer patients in China. Mediation and moderation analyses were performed to examine the relationships among the study variables. RESULTS: First, patient-centered communication increased patient participation in decision-making, which, in turn, enhanced patient trust. Second, patient-centered communication did not have a direct effect on patient trust. Third, patient preference for a passive role in decision-making weakened the relationship between patient participation and patient trust. CONCLUSION: The results underscore the significant effect of facilitating patient participation in linking patient-centered communication to patient trust. However, medical communication should also respond to patients' preferred roles in the decision-making process. PRACTICE IMPLICATIONS: Doctors should provide patients with opportunities to ask questions and express their concerns. In addition, they should evaluate patients' preferred degree of involvement before inviting them to contribute so as to respect their preferences and values.",0
Coping with COVID: Performance of China's hierarchical medical system during the COVID-19 pandemic.,"OBJECTIVE: The COVID-19 pandemic has challenged the health system worldwide. This study aimed to assess how China's hierarchical medical system (HMS) coped with COVID-19 in the short-and medium-term. We mainly measured the number and distribution of hospital visits and healthcare expenditure between primary and high-level hospitals during Beijing's 2020-2021 pandemic relative to the 2017-2019 pre-COVID-19 benchmark period. METHODS: Hospital operational data were extracted from Municipal Health Statistics Information Platform. The COVID-19 period in Beijing was divided into five phases, corresponding to different characteristics, from January 2020 to October 2021. The main outcome measures in this study include the percentage change in inpatient and outpatient emergency visits, and surgeries, and changing distribution of patients between different hospital levels across Beijing's HMS. In addition, the corresponding health expenditure in each of the 5 phases of COVID-19 was also included. RESULTS: In the outbreak phase of the pandemic, the total visits of Beijing hospitals declined dramatically, where outpatient visits fell 44.6%, inpatients visits fell 47.9%; emergency visits fell 35.6%, and surgery inpatients fell 44.5%. Correspondingly, health expenditures declined 30.5% for outpatients and 43.0% for inpatients. The primary hospitals absorbed a 9.51% higher proportion of outpatients than the pre-COVID-19 level in phase 1. In phase 4, the number of patients, including non-local outpatients reached pre-pandemic 2017-2019 benchmark levels. The proportion of outpatients in primary hospitals was only 1.74% above pre-COVID-19 levels in phases 4 and 5. Health expenditure for both outpatients and inpatients reached the baseline level in phase 3 and increased nearly 10% above pre-COVID-19 levels in phases 4 and 5. CONCLUSION: The HMS in Beijing coped with the COVID-19 pandemic in a relatively short time, the early stage of the pandemic reflected an enhanced role for primary hospitals in the HMS, but did not permanently change patient preferences for high-level hospitals. Relative to the pre-COVID-19 benchmark, the elevated hospital expenditure in phase 4 and phase 5 pointed to hospital over-treatment or patient excess treatment demand. We suggest improving the service capacity of primary hospitals and changing the preferences of patients through health education in the post-COVID-19 world.",0
A cross-sectional study evaluating patients' preferences for Salter innominate osteotomy.,"BACKGROUND: Residual acetabular dysplasia in children after reduction of hip dislocation is often treated using Salter innominate osteotomy to prevent future osteoarthritis. Preventive surgery for asymptomatic patients, which could result in overtreatment, should be carefully applied with consideration of patients' opinions. In this study, we aimed to describe opinions on Salter innominate osteotomy as preventive surgery for children among adult patients who had undergone periacetabular osteotomy for hip pain due to hip dysplasia. METHODS: A mail-in questionnaire survey was conducted with 77 patients who underwent periacetabular osteotomy. Participants responded whether they would recommend Salter innominate osteotomy as preventive surgery for children and the reason for their opinion. We also performed a patient-based evaluation using the Japanese Orthopaedic Association Hip-Disease Evaluation Questionnaire and assessed clinical outcome measures with the Japanese Orthopedic Association score. Their recommendations and reasons were evaluated, and associations between their opinions and demographic and clinical characteristics were analyzed. RESULTS: Forty-three patients (56%) responded to the questionnaire. Of these, 10 (23%) patients recommended undergoing Salter innominate osteotomy, 28 (65%) patients did not, and 5 (12%) patients responded they were undecided. No significant association was observed between their opinions and demographic/clinical characteristics evaluated in the survey. The most frequent reason for why they do not recommend Salter innominate osteotomy was related to uncertainty about future hip pain. CONCLUSIONS: In total, 65% of the study participants did not recommend Salter innominate osteotomy for children with risk of dysplasia in the future. Participants' preferences regarding preventive surgery were not influenced by demographic and clinical characteristics.",0
Pharmacologic and nonpharmacologic options for pain relief during labor: an expert review.,"Labor pain is among the most severe types of physical pain that women may experience during their lifetime. Thus, pain relief is an essential part of medical care during childbirth. Epidural analgesia is considered to be the most efficient method of pain relief during labor. Nevertheless, patient preferences, contraindications, limited availability, and technical failure may require the use of alternative pain reliving methods during labor including systemic pharmacologic agents, and nonpharmacologic methods. Nonpharmacologic methods for pain alleviation during vaginal birth have become popular over the years, either as a complement to pharmacologic agents or at times as the principal therapy. Methods such as relaxation techniques (ie, yoga, hypnosis, and music), manual techniques (ie, massage, reflexology, and shiatsu), acupuncture, birthing ball, and transcutaneous electrical nerve stimulation are considered safe, although the evidence supporting their effectiveness for pain relief is not as robust as it is for pharmacologic agents. Systemic pharmacologic agents are mostly administered by inhalation (nitrous oxide) or through the parenteral route. These agents include opioids such as meperidine, nalbuphine, tramadol, butorphanol, morphine, and remifentanil, and non-opioid agents such as parenteral acetaminophen and nonsteroidal anti-inflammatory drugs. Systemic pharmacologic agents suggest a diverse armamentarium of medication for pain management during labor. Their efficacy in treating pain associated with labor varies, and some continue to be used even though they have not been proven effective for pain relief. In addition, the maternal and perinatal side effects differ markedly among these agents. There is a relative abundance of data regarding the effectiveness of analgesic drugs compared with epidural, but the data regarding comparisons among the different types of alternative analgesic agents are scarce, and there is no consistency regarding the drug of choice for women who do not receive epidural pain management. This review aims to present the available data regarding the effectiveness of the different methods of relieving pain during labor other than epidural. The data presented are mainly based on recent level I evidence regarding pharmacologic and nonpharmacologic methods for pain relief during labor.",0
A meta-analysis on the role older adults with cancer favour in treatment decision making.,"INTRODUCTION: In the complex setting of oncological treatment decision making, balancing professional guidance while respecting patient involvement can be a challenge. We set out to assess the role adults with cancer favour in treatment decision making (TDM), including differences across age groups and change over time. MATERIALS AND METHODS: A systematic search was performed in MEDLINE and Embase, for studies on role preference of (older) adults with cancer in oncological treatment decision making. A meta-analysis was conducted based on Control Preference Scale (CPS) data, a questionnaire on patient role preference in TDM. RESULTS: This meta-analysis includes 33 studies reporting CPS data comprising 17,197 adults with cancer. Mean age was 60.6 years old for studies that specified age (24 studies, 6155 patients). During the last decade, patients' role preference shifted towards significantly more active involvement in TDM (p = 0.006). No age-dependent subgroup differences have been identified; both younger and older adults, defined as, respectively, below and above 65 years old, favour active involvement in treatment decision making. DISCUSSION: Over time, adults with cancer have shifted towards more active role preference in treatment decision making. In current cancer care, a large majority prefers taking an active role, irrespective of age.",0
Effect of protocol-based family visitation on physiological indicators in ICU patients: a randomized controlled trial.,"BACKGROUND: Intensive care unit (ICU) patients often experience significant physiological stress. This study evaluated the effect of a defined family visitation protocol on physiological responses in the ICU. METHODS: A randomized, block-randomized clinical trial was conducted on 78 ICU patients at Imam Reza Hospital between February 8, 2017, and August 8, 2017. The intervention group received protocol-based visits, and the control group continued with standard visitation. Block randomization was utilized for group assignments. The primary outcome was the measurement of physiological signs using designated monitoring devices. Data were analyzed using SPSS version 22, employing independent t-tests, Mann-Whitney U test, repeated measures analysis, and Friedman's test. RESULTS: The results showed no significant differences in systolic blood pressure, diastolic blood pressure, mean arterial pressure, respiratory rate, and arterial blood oxygen levels between the two groups. However, heart rate in the intervention group was significantly lower in three stages before, during, and after the meaningful visiting (P = 0.008). CONCLUSION: Protocol-based scheduled family visits in the ICU may reduce physiological stress, as evidenced by a decrease in patients' heart rate. Implementing tailored visitation protocols sensitive to patient preferences and clinical contexts is advisable, suggesting the integration of family visits into standard care practices for enhanced patient outcomes. TRIAL REGISTRATION: IRCT20161229031654N2; 25/01/2018; Iranian Registry of Clinical Trials ( https://en.irct.ir ).",0
Physical therapist clinical reasoning in home care for walking assistive device prescription: A description of practice.,"BACKGROUND: Home care in the United States (US) provides rehabilitative care to people who are homebound after acute hospitalization. Patients with stroke and brain injury (BI) are commonly seen by physical therapists (PTs/PTAs), who often address the loss of walking independence. Clinical reasoning (CR) is required for walking assistive device (WAD) prescription within the home. There has never been a description of the home care PT CR process, which could inform entry-level training and health policy. PURPOSE: To describe the homecare CR process by identifying factors used for prescription of WADs in patients with stroke and BI. Secondly, to describe any practice issues associated with WADs. METHODS: Directors of 7 agencies affiliated with Nazareth College DPT program were recruited to identify PTs/PTAs to complete an online survey between March - July 2017. Quantitative and qualitative data were collected, and analyzed for frequencies or for common themes. RESULTS: A total of 334 PTs/PTAs were enrolled from all agencies and 72 responses were analyzed. The CR process did not differ between stroke and BI. Safety was the primary factor, which was assessed by patient query, observation skills, and objective measures. PTs/PTAs also measured balance, strength, function, cognition, and patient preferences within the context of the home. WADs obtained prior to initiation of home care often weren't used. CONCLUSION: A complex CR process has been described for WAD prescription in home care for patients with stroke and BI. Entry-level training and health policy implications are described.",0
"""I want to stay here"": Patient and staff perspectives on transitioning from a low-threshold buprenorphine program to clinic-based care.","BACKGROUND: The Project Connections At Re-Entry (PCARE) Van is a low-threshold buprenorphine program operating outside the Baltimore City Detention Center. Like other low-threshold programs, PCARE seeks to engage a vulnerable population in care, stabilize patients, then transition patients to longer-term care; however, <10% of patients transition to clinic-based buprenorphine treatment. Our goal was to better understand these low transition rates and center patient perspectives in discussion of broader low-threshold program design. METHODS: From December 2022 to June 2023, semi-structured interviews were conducted with 20 former and current PCARE patients and 6 staff members. We used deductive and inductive coding followed by thematic content analysis to identify themes around treatment experiences and care preferences. RESULTS: There were strong preferences among current and former patients for continuing buprenorphine treatment at the PCARE Van. Several themes emerged from the data that explained patient preferences, including both advantages to continuing care at the van (preference for continuity, feeling respected by the program's structure and philosophy) and disadvantages to transitioning to a clinic (perceived harms associated with rigid or punitive care models). Staff noted limited program capacity, and patients expressed that if needed, they would transition to a clinic for altruistic reasons. Staff expressed varied perspectives on low-threshold care, emphasizing both larger systems factors, as well as beliefs about individual patient responsibility. CONCLUSIONS: While many low-threshold care settings are designed as transitional bridge models, this research highlights patient preference for long-term care at low-threshold programs and supports efforts to adapt low-threshold models to be sustainable as longitudinal care.",0
Physiotherapists should apply health coaching techniques and incorporate accountability to foster adherence to a walking program for low back pain: a qualitative study.,"QUESTIONS: What motivates individuals to start a walking program for the prevention of low back pain? What strategies optimise short-term and long-term adherence to a walking program? What strategies can physiotherapists incorporate into clinical practice to facilitate commencement of and adherence to a walking program? DESIGN: Qualitative study. PARTICIPANTS: Twenty-two adults recently recovered from an episode of non-specific low back pain who participated in a 6-month, progressive and individualised walking program that was prescribed by a physiotherapist trained in health coaching. METHODS: Semi-structured focus groups conducted online following completion of the walking program. Interview questions explored: primary motivations for starting a walking program, identification of which elements were useful in optimising adherence to the program, and identification of the barriers to and facilitators of engagement with the program. Audio recordings were transcribed and thematic analysis was conducted. RESULTS: Three major themes were identified. Theme one identified that strong motivators to start a walking program were anticipated improvements in low back pain management and the added general health benefits of a more active lifestyle. Theme two identified that fear of high-impact exercises led to avoidance; however, walking was considered a safe exercise option. Theme three identified accountability, enjoyment of exercise and health benefits were critical to adherence. CONCLUSION: Participants recently recovered from low back pain reflected positively on a physiotherapist-prescribed walking program. Participants described what elements of the program were crucial to starting exercise and optimising adherence. These findings have informed a list of practical recommendations for physiotherapists to improve patient commencement and adherence to exercise.",0
Intimate Partner Violence.,"IPV is a widespread and destructive public health problem that impacts women across the world and the lifespan. IPV encompasses a wide range of negative behaviors towards a person's romantic partner which include physical aggression, sexual violence, stalking, psychological torment, and coercive behaviors. Persons who experience IPV face a wide range of debilitating physical, mental health, and financial outcomes compared to those who have never experienced violence. Physicians play an important role in caring for patients who have experienced violence; knowledge of IPV's impact, consequences, treatment, and patient preferences around IPV discussions can lead to improved patient satisfaction and outcomes.",0
